Time,Cum_Cases,Confirmed,date,Day
1,2,2,21/03/2020,43911
2,3,1,22/03/2020,43912
3,3,0,23/03/2020,43913
4,3,0,24/03/2020,43914
5,3,0,25/03/2020,43915
6,4,1,26/03/2020,43916
7,5,1,27/03/2020,43917
8,5,0,28/03/2020,43918
9,5,0,29/03/2020,43919
10,5,0,30/03/2020,43920
11,5,0,31/03/2020,43921
12,6,1,01/04/2020,43922
13,6,0,02/04/2020,43923
14,6,0,03/04/2020,43924
15,6,0,04/04/2020,43925
16,7,1,05/04/2020,43926
17,7,0,06/04/2020,43927
18,7,0,07/04/2020,43928
19,7,0,08/04/2020,43929
20,7,0,09/04/2020,43930
21,7,0,10/04/2020,43931
22,7,0,11/04/2020,43932
23,8,1,12/04/2020,43933
24,10,2,13/04/2020,43934
25,10,0,14/04/2020,43935
26,11,1,15/04/2020,43936
27,55,44,16/04/2020,43937
28,55,0,17/04/2020,43938
29,56,1,18/04/2020,43939
30,58,2,19/04/2020,43940
31,61,3,20/04/2020,43941
32,67,6,21/04/2020,43942
33,67,0,22/04/2020,43943
34,73,6,23/04/2020,43944
35,82,9,24/04/2020,43945
36,88,6,25/04/2020,43946
37,90,2,26/04/2020,43947
38,106,16,27/04/2020,43948
39,109,3,28/04/2020,43949
40,113,4,29/04/2020,43950
41,113,0,30/04/2020,43951
42,121,8,01/05/2020,43952
43,123,2,02/05/2020,43953
44,152,29,03/05/2020,43954
45,165,13,04/05/2020,43955
46,175,10,05/05/2020,43956
47,186,11,06/05/2020,43957
48,191,5,07/05/2020,43958
49,218,27,08/05/2020,43959
50,230,12,09/05/2020,43960
51,236,6,10/05/2020,43961
52,246,10,11/05/2020,43962
53,260,14,12/05/2020,43963
54,270,10,13/05/2020,43964
55,289,19,14/05/2020,43965
56,315,26,15/05/2020,43966
57,326,11,16/05/2020,43967
58,328,2,17/05/2020,43968
59,328,0,18/05/2020,43969
60,328,0,19/05/2020,43970
61,335,7,20/05/2020,43971
62,349,14,21/05/2020,43972
63,356,7,22/05/2020,43973
64,362,6,23/05/2020,43974
65,371,9,24/05/2020,43975
66,380,9,25/05/2020,43976
67,390,10,26/05/2020,43977
68,390,0,27/05/2020,43978
69,390,0,28/05/2020,43979
70,390,0,29/05/2020,43980
71,405,15,30/05/2020,43981
72,421,16,31/05/2020,43982
73,435,14,01/06/2020,43983
74,458,23,02/06/2020,43984
75,466,8,03/06/2020,43985
76,477,11,04/06/2020,43986
77,502,25,05/06/2020,43987
78,536,34,06/06/2020,43988
79,542,6,07/06/2020,43989
80,554,12,08/06/2020,43990
81,567,13,09/06/2020,43991
82,585,18,10/06/2020,43992
83,615,30,11/06/2020,43993
84,657,42,12/06/2020,43994
85,697,40,13/06/2020,43995
86,726,29,14/06/2020,43996
87,750,24,15/06/2020,43997
88,760,10,16/06/2020,43998
89,781,21,17/06/2020,43999
90,792,11,18/06/2020,44000
91,823,31,19/06/2020,44001
92,848,25,20/06/2020,44002
93,863,15,21/06/2020,44003
94,890,27,22/06/2020,44004
95,944,54,23/06/2020,44005
96,982,38,24/06/2020,44006
97,999,17,25/06/2020,44007
98,1003,4,26/06/2020,44008
99,1027,24,27/06/2020,44009
100,1091,64,28/06/2020,44010
101,1155,64,29/06/2020,44011
102,1165,10,30/06/2020,44012
103,1227,62,01/07/2020,44013
104,1267,40,02/07/2020,44014
105,1301,34,03/07/2020,44015
106,1382,81,04/07/2020,44016
107,1420,38,05/07/2020,44017
108,1451,31,06/07/2020,44018
109,1463,12,07/07/2020,44019
110,1499,36,08/07/2020,44020
111,1542,43,09/07/2020,44021
112,1553,11,10/07/2020,44022
113,1553,0,11/07/2020,44023
114,1591,38,12/07/2020,44024
115,1698,107,13/07/2020,44025
116,1722,24,14/07/2020,44026
117,1780,58,15/07/2020,44027
118,1837,57,16/07/2020,44028
119,1894,57,17/07/2020,44029
120,1939,45,18/07/2020,44030
121,2014,75,19/07/2020,44031
122,2043,29,20/07/2020,44032
123,2071,28,21/07/2020,44033
124,2107,36,22/07/2020,44034
125,2154,47,23/07/2020,44035
126,2190,36,24/07/2020,44036
127,2220,30,25/07/2020,44037
128,2258,38,26/07/2020,44038
129,2307,49,27/07/2020,44039
130,2328,21,28/07/2020,44040
131,2354,26,29/07/2020,44041
132,2373,19,30/07/2020,44042
133,2373,0,31/07/2020,44043
134,2451,78,01/08/2020,44044
135,2480,29,02/08/2020,44045
136,2547,67,03/08/2020,44046
137,2583,36,04/08/2020,44047
138,2631,48,05/08/2020,44048
139,2689,58,06/08/2020,44049
140,2734,45,07/08/2020,44050
141,2780,46,08/08/2020,44051
142,2835,55,09/08/2020,44052
143,2858,23,10/08/2020,44053
144,2883,25,11/08/2020,44054
145,2920,37,12/08/2020,44055
