Time,Cum_Cases,Confirmed,Date,Day
1,1,1,12/03/2020,43902
2,1,0,13/03/2020,43903
3,1,0,14/03/2020,43904
4,4,3,15/03/2020,43905
5,4,0,16/03/2020,43906
6,5,1,17/03/2020,43907
7,5,0,18/03/2020,43908
8,6,1,19/03/2020,43909
9,9,3,20/03/2020,43910
10,14,5,21/03/2020,43911
11,17,3,22/03/2020,43912
12,25,8,23/03/2020,43913
13,25,0,24/03/2020,43914
14,73,48,25/03/2020,43915
15,80,7,26/03/2020,43916
16,96,16,27/03/2020,43917
17,101,5,28/03/2020,43918
18,140,39,29/03/2020,43919
19,165,25,30/03/2020,43920
20,168,3,31/03/2020,43921
21,168,0,01/04/2020,43922
22,190,22,02/04/2020,43923
23,194,4,03/04/2020,43924
24,218,24,04/04/2020,43925
25,245,27,05/04/2020,43926
26,261,16,06/04/2020,43927
27,323,62,07/04/2020,43928
28,349,26,08/04/2020,43929
29,384,35,09/04/2020,43930
30,444,60,10/04/2020,43931
31,480,36,11/04/2020,43932
32,533,53,12/04/2020,43933
33,574,41,13/04/2020,43934
34,626,52,14/04/2020,43935
35,626,0,15/04/2020,43936
36,654,28,16/04/2020,43937
37,688,34,17/04/2020,43938
38,742,54,18/04/2020,43939
39,801,59,19/04/2020,43940
40,847,46,20/04/2020,43941
41,879,32,21/04/2020,43942
42,916,37,22/04/2020,43943
43,952,36,23/04/2020,43944
44,1004,52,24/04/2020,43945
45,1077,73,25/04/2020,43946
46,1111,34,26/04/2020,43947
47,1150,39,27/04/2020,43948
48,1164,14,28/04/2020,43949
49,1183,19,29/04/2020,43950
50,1238,55,30/04/2020,43951
51,1275,37,01/05/2020,43952
52,1333,58,02/05/2020,43953
53,1362,29,03/05/2020,43954
54,1398,36,04/05/2020,43955
55,1432,34,05/05/2020,43956
56,1464,32,06/05/2020,43957
57,1516,52,07/05/2020,43958
58,1571,55,08/05/2020,43959
59,1602,31,09/05/2020,43960
60,1667,65,10/05/2020,43961
61,1700,33,11/05/2020,43962
62,1730,30,12/05/2020,43963
63,1857,127,13/05/2020,43964
64,1912,55,14/05/2020,43965
65,1971,59,15/05/2020,43966
66,2017,46,16/05/2020,43967
67,2061,44,17/05/2020,43968
68,2109,48,18/05/2020,43969
69,2119,10,19/05/2020,43970
70,2153,34,20/05/2020,43971
71,2231,78,21/05/2020,43972
72,2231,0,22/05/2020,43973
73,2301,70,23/05/2020,43974
74,2366,65,24/05/2020,43975
75,2376,10,25/05/2020,43976
76,2423,47,26/05/2020,43977
77,2477,54,27/05/2020,43978
78,2556,79,28/05/2020,43979
79,2641,85,29/05/2020,43980
80,2750,109,30/05/2020,43981
81,2799,49,31/05/2020,43982
82,2833,34,01/06/2020,43983
83,2951,118,02/06/2020,43984
84,3024,73,03/06/2020,43985
85,3024,0,04/06/2020,43986
86,3262,238,05/06/2020,43987
87,3431,169,06/06/2020,43988
88,3557,126,07/06/2020,43989
89,3739,182,08/06/2020,43990
90,3881,142,09/06/2020,43991
91,3995,114,10/06/2020,43992
92,4181,186,11/06/2020,43993
93,4404,223,12/06/2020,43994
94,4684,280,13/06/2020,43995
95,4848,164,14/06/2020,43996
96,5084,236,15/06/2020,43997
97,5439,355,16/06/2020,43998
98,5679,240,17/06/2020,43999
99,6063,384,18/06/2020,44000
100,6063,0,19/06/2020,44001
101,6444,381,20/06/2020,44002
102,6874,430,21/06/2020,44003
103,7492,618,22/06/2020,44004
104,7492,0,23/06/2020,44005
105,7904,412,24/06/2020,44006
106,7904,0,25/06/2020,44007
107,8164,260,26/06/2020,44008
108,8334,170,27/06/2020,44009
109,8739,405,28/06/2020,44010
110,8944,205,29/06/2020,44011
111,9214,270,30/06/2020,44012
112,9499,285,01/07/2020,44013
113,9702,203,02/07/2020,44014
114,9992,290,03/07/2020,44015
115,10244,252,04/07/2020,44016
116,10462,218,05/07/2020,44017
117,10772,310,06/07/2020,44018
118,10966,194,07/07/2020,44019
119,10966,0,08/07/2020,44020
120,11504,538,09/07/2020,44021
121,11750,246,10/07/2020,44022
122,12052,302,11/07/2020,44023
123,12443,391,12/07/2020,44024
124,12766,323,13/07/2020,44025
125,12872,106,14/07/2020,44026
126,13037,165,15/07/2020,44027
127,13403,366,16/07/2020,44028
128,13554,151,17/07/2020,44029
129,13696,142,18/07/2020,44030
130,13912,216,19/07/2020,44031
131,14119,207,20/07/2020,44032
132,14312,193,21/07/2020,44033
133,14531,219,22/07/2020,44034
134,14531,0,23/07/2020,44035
135,15001,470,24/07/2020,44036
136,15253,252,25/07/2020,44037
137,15494,241,26/07/2020,44038
138,15596,102,27/07/2020,44039
139,15655,59,28/07/2020,44040
140,15713,58,29/07/2020,44041
141,15813,100,30/07/2020,44042
142,15978,165,31/07/2020,44043
143,16047,69,01/08/2020,44044
144,16109,62,02/08/2020,44045
145,16182,73,03/08/2020,44046
146,16220,38,04/08/2020,44047
147,16293,73,05/08/2020,44048
148,16349,56,06/08/2020,44049
149,16447,98,07/08/2020,44050
150,16524,77,08/08/2020,44051
151,16620,96,09/08/2020,44052
152,16715,95,10/08/2020,44053
153,16798,83,11/08/2020,44054
154,16847,49,12/08/2020,44055
