Time,Cum_Cases,Confirmed,Date,Date
1,1,1,17/03/2020,43907
2,1,0,18/03/2020,43908
3,1,0,19/03/2020,43909
4,1,0,20/03/2020,43910
5,1,0,21/03/2020,43911
6,1,0,22/03/2020,43912
7,2,1,23/03/2020,43913
8,3,1,24/03/2020,43914
9,3,0,25/03/2020,43915
10,3,0,26/03/2020,43916
11,3,0,27/03/2020,43917
12,3,0,28/03/2020,43918
13,4,1,29/03/2020,43919
14,4,0,30/03/2020,43920
15,4,0,31/03/2020,43921
16,4,0,01/04/2020,43922
17,4,0,02/04/2020,43923
18,4,0,03/04/2020,43924
19,4,0,04/04/2020,43925
20,4,0,05/04/2020,43926
21,4,0,06/04/2020,43927
22,4,0,07/04/2020,43928
23,4,0,08/04/2020,43929
24,4,0,09/04/2020,43930
25,4,0,10/04/2020,43931
26,9,5,11/04/2020,43932
27,9,0,12/04/2020,43933
28,9,0,13/04/2020,43934
29,9,0,14/04/2020,43935
30,9,0,15/04/2020,43936
31,9,0,16/04/2020,43937
32,9,0,17/04/2020,43938
33,9,0,18/04/2020,43939
34,10,1,19/04/2020,43940
35,10,0,20/04/2020,43941
36,10,0,21/04/2020,43942
37,10,0,22/04/2020,43943
38,10,0,23/04/2020,43944
39,10,0,24/04/2020,43945
40,10,0,25/04/2020,43946
41,10,0,26/04/2020,43947
42,10,0,27/04/2020,43948
43,10,0,28/04/2020,43949
44,10,0,29/04/2020,43950
45,11,1,30/04/2020,43951
46,12,1,01/05/2020,43952
47,17,5,02/05/2020,43953
48,17,0,03/05/2020,43954
49,17,0,04/05/2020,43955
50,17,0,05/05/2020,43956
51,17,0,06/05/2020,43957
52,18,1,07/05/2020,43958
53,20,2,08/05/2020,43959
54,20,0,09/05/2020,43960
55,20,0,10/05/2020,43961
56,22,2,11/05/2020,43962
57,22,0,12/05/2020,43963
58,23,1,13/05/2020,43964
59,23,0,14/05/2020,43965
60,23,0,15/05/2020,43966
61,23,0,16/05/2020,43967
62,23,0,17/05/2020,43968
63,24,1,18/05/2020,43969
64,24,0,19/05/2020,43970
65,24,0,20/05/2020,43971
66,24,0,21/05/2020,43972
67,25,1,22/05/2020,43973
68,25,0,23/05/2020,43974
69,25,0,24/05/2020,43975
70,25,0,25/05/2020,43976
71,25,0,26/05/2020,43977
72,25,0,27/05/2020,43978
73,25,0,28/05/2020,43979
74,25,0,29/05/2020,43980
75,25,0,30/05/2020,43981
76,25,0,31/05/2020,43982
77,25,0,01/06/2020,43983
78,25,0,02/06/2020,43984
79,26,1,03/06/2020,43985
80,26,0,04/06/2020,43986
81,26,0,05/06/2020,43987
82,26,0,06/06/2020,43988
83,26,0,07/06/2020,43989
84,28,2,08/06/2020,43990
85,28,0,09/06/2020,43991
86,28,0,10/06/2020,43992
87,28,0,11/06/2020,43993
88,28,0,12/06/2020,43994
89,28,0,13/06/2020,43995
90,28,0,14/06/2020,43996
91,30,2,15/06/2020,43997
92,34,4,16/06/2020,43998
93,34,0,17/06/2020,43999
94,36,2,18/06/2020,44000
95,36,0,19/06/2020,44001
96,37,1,20/06/2020,44002
97,37,0,21/06/2020,44003
98,41,4,22/06/2020,44004
99,42,1,23/06/2020,44005
100,42,0,24/06/2020,44006
101,43,1,25/06/2020,44007
102,43,0,26/06/2020,44008
103,44,1,27/06/2020,44009
104,45,1,28/06/2020,44010
105,47,2,29/06/2020,44011
106,49,2,30/06/2020,44012
107,49,0,01/07/2020,44013
108,55,6,02/07/2020,44014
109,55,0,03/07/2020,44015
110,57,2,04/07/2020,44016
111,57,0,05/07/2020,44017
112,61,4,06/07/2020,44018
113,61,0,07/07/2020,44019
114,61,0,08/07/2020,44020
115,63,2,09/07/2020,44021
116,64,1,10/07/2020,44022
117,64,0,11/07/2020,44023
118,64,0,12/07/2020,44024
119,64,0,13/07/2020,44025
120,64,0,14/07/2020,44026
121,64,0,15/07/2020,44027
122,78,14,16/07/2020,44028
123,78,0,17/07/2020,44029
124,93,15,18/07/2020,44030
125,93,0,19/07/2020,44031
126,112,19,20/07/2020,44032
127,112,0,21/07/2020,44033
128,146,34,22/07/2020,44034
129,170,24,23/07/2020,44035
130,216,46,24/07/2020,44036
131,277,61,25/07/2020,44037
132,277,0,26/07/2020,44038
133,326,49,27/07/2020,44039
134,326,0,28/07/2020,44040
135,326,0,29/07/2020,44041
136,403,77,30/07/2020,44042
137,498,95,31/07/2020,44043
138,498,0,01/08/2020,44044
139,498,0,02/08/2020,44045
140,498,0,03/08/2020,44046
141,671,173,04/08/2020,44047
142,799,128,05/08/2020,44048
143,935,136,06/08/2020,44049
144,1090,155,07/08/2020,44050
145,1090,0,08/08/2020,44051
146,1235,145,09/08/2020,44052
147,1235,0,10/08/2020,44053
148,1346,111,11/08/2020,44054
149,1477,131,12/08/2020,44055
