Time,Cum_Cases,Confirmed,Date,Day
1,2,2,12/03/2020,43902
2,2,0,13/03/2020,43903
3,2,0,14/03/2020,43904
4,2,4,15/03/2020,43905
5,6,0,16/03/2020,43906
6,6,1,17/03/2020,43907
7,7,0,18/03/2020,43908
8,11,4,19/03/2020,43909
9,16,5,20/03/2020,43910
10,21,5,21/03/2020,43911
11,24,3,22/03/2020,43912
12,27,3,23/03/2020,43913
13,53,26,24/03/2020,43914
14,68,15,25/03/2020,43915
15,132,64,26/03/2020,43916
16,137,5,27/03/2020,43917
17,141,4,28/03/2020,43918
18,152,11,29/03/2020,43919
19,152,0,30/03/2020,43920
20,152,0,31/03/2020,43921
21,195,43,01/04/2020,43922
22,204,9,02/04/2020,43923
23,205,1,03/04/2020,43924
24,214,9,04/04/2020,43925
25,214,0,05/04/2020,43926
26,287,73,06/04/2020,43927
27,287,0,07/04/2020,43928
28,313,26,08/04/2020,43929
29,378,65,09/04/2020,43930
30,378,0,10/04/2020,43931
31,408,30,11/04/2020,43932
32,566,158,12/04/2020,43933
33,566,0,13/04/2020,43934
34,636,70,14/04/2020,43935
35,641,5,15/04/2020,43936
36,641,0,16/04/2020,43937
37,641,0,17/04/2020,43938
38,834,193,18/04/2020,43939
39,1042,208,19/04/2020,43940
40,1042,0,20/04/2020,43941
41,1042,0,21/04/2020,43942
42,1154,112,22/04/2020,43943
43,1154,0,23/04/2020,43944
44,1279,125,24/04/2020,43945
45,1279,0,25/04/2020,43946
46,1550,271,26/04/2020,43947
47,1550,0,27/04/2020,43948
48,1671,121,28/04/2020,43949
49,1671,0,29/04/2020,43950
50,2074,403,30/04/2020,43951
51,2074,0,01/05/2020,43952
52,2169,95,02/05/2020,43953
53,2169,0,03/05/2020,43954
54,2719,550,04/05/2020,43955
55,2719,0,05/05/2020,43956
56,3091,372,06/05/2020,43957
57,3091,0,07/05/2020,43958
58,4012,921,08/05/2020,43959
59,4263,251,09/05/2020,43960
60,4263,0,10/05/2020,43961
61,4700,437,11/05/2020,43962
62,5127,427,12/05/2020,43963
63,5408,281,13/05/2020,43964
64,5530,122,14/05/2020,43965
65,5638,108,15/05/2020,43966
66,5735,97,16/05/2020,43967
67,5735,0,17/05/2020,43968
68,5735,0,18/05/2020,43969
69,6096,361,19/05/2020,43970
70,6269,173,20/05/2020,43971
71,6486,217,21/05/2020,43972
72,6617,131,22/05/2020,43973
73,6617,0,23/05/2020,43974
74,6683,66,24/05/2020,43975
75,6808,125,25/05/2020,43976
76,7117,309,26/05/2020,43977
77,7303,186,27/05/2020,43978
78,7303,0,28/05/2020,43979
79,7616,313,29/05/2020,43980
80,7768,152,30/05/2020,43981
81,8070,302,31/05/2020,43982
82,8070,0,01/06/2020,43983
83,8297,227,02/06/2020,43984
84,8548,251,03/06/2020,43985
85,8885,337,04/06/2020,43986
86,9168,283,05/06/2020,43987
87,9462,294,06/06/2020,43988
88,9638,176,07/06/2020,43989
89,9910,272,08/06/2020,43990
90,10201,291,09/06/2020,43991
91,10358,157,10/06/2020,43992
92,10358,0,11/06/2020,43993
93,11118,760,12/06/2020,43994
94,11422,304,13/06/2020,43995
95,11964,542,14/06/2020,43996
96,11964,0,15/06/2020,43997
97,12193,229,16/06/2020,43998
98,12590,397,17/06/2020,43999
99,12929,339,18/06/2020,44000
100,13203,274,19/06/2020,44001
101,13711,508,20/06/2020,44002
102,14154,443,21/06/2020,44003
103,14154,0,22/06/2020,44004
104,14568,414,23/06/2020,44005
105,15013,445,24/06/2020,44006
106,15473,460,25/06/2020,44007
107,15834,361,26/06/2020,44008
108,16431,597,27/06/2020,44009
109,17351,920,28/06/2020,44010
110,17351,0,29/06/2020,44011
111,17741,390,30/06/2020,44012
112,18134,393,01/07/2020,44013
113,18134,0,02/07/2020,44014
114,19388,1254,03/07/2020,44015
115,19388,0,04/07/2020,44016
116,20085,697,05/07/2020,44017
117,21077,992,06/07/2020,44018
118,21968,891,07/07/2020,44019
119,22822,854,08/07/2020,44020
120,23463,641,09/07/2020,44021
121,23834,371,10/07/2020,44022
122,24248,414,11/07/2020,44023
123,24518,270,12/07/2020,44024
124,24988,470,13/07/2020,44025
125,24988,0,14/07/2020,44026
126,25430,442,15/07/2020,44027
127,26125,695,16/07/2020,44028
128,26572,447,17/07/2020,44029
129,27060,488,18/07/2020,44030
130,27667,607,19/07/2020,44031
131,28430,763,20/07/2020,44032
132,28989,559,21/07/2020,44033
133,29672,683,22/07/2020,44034
134,30366,683,23/07/2020,44035
135,31057,694,24/07/2020,44036
136,31851,691,25/07/2020,44037
137,32969,794,26/07/2020,44038
138,33624,1118,27/07/2020,44039
139,34406,655,28/07/2020,44040
140,35142,782,29/07/2020,44041
141,35142,736,30/07/2020,44042
142,35501,0,31/07/2020,44043
143,37014,359,01/08/2020,44044
144,37014,1513,02/08/2020,44045
145,37812,0,03/08/2020,44046
146,37812,798,04/08/2020,44047
147,39075,0,05/08/2020,44048
148,40097,1263,06/08/2020,44049
149,40097,1022,07/08/2020,44050
150,40533,0,08/08/2020,44051
151,41003,436,09/08/2020,44052
152,41212,470,10/08/2020,44053
153,41404,209,11/08/2020,44054
154,41725,192,12/08/2020,44055
