Time,Cum_Cases,Confirmed,date,Day
1,1,1,14/03/2020,43904
2,1,0,15/03/2020,43905
3,1,0,16/03/2020,43906
4,1,0,17/03/2020,43907
5,1,0,18/03/2020,43908
6,1,0,19/03/2020,43909
7,1,0,20/03/2020,43910
8,2,1,21/03/2020,43911
9,2,0,22/03/2020,43912
10,2,0,23/03/2020,43913
11,2,0,24/03/2020,43914
12,4,2,25/03/2020,43915
13,4,0,26/03/2020,43916
14,5,1,27/03/2020,43917
15,5,0,28/03/2020,43918
16,8,3,29/03/2020,43919
17,8,0,30/03/2020,43920
18,16,8,31/03/2020,43921
19,16,0,01/04/2020,43922
20,30,14,02/04/2020,43923
21,52,22,03/04/2020,43924
22,52,0,04/04/2020,43925
23,111,59,05/04/2020,43926
24,121,10,06/04/2020,43927
25,128,7,07/04/2020,43928
26,144,16,08/04/2020,43929
27,164,20,09/04/2020,43930
28,194,30,10/04/2020,43931
29,212,18,11/04/2020,43932
30,250,38,12/04/2020,43933
31,250,0,13/04/2020,43934
32,319,69,14/04/2020,43935
33,363,44,15/04/2020,43936
34,404,41,16/04/2020,43937
35,438,34,17/04/2020,43938
36,477,39,18/04/2020,43939
37,477,0,19/04/2020,43940
38,579,102,20/04/2020,43941
39,622,43,21/04/2020,43942
40,688,66,22/04/2020,43943
41,761,73,23/04/2020,43944
42,862,101,24/04/2020,43945
43,954,92,25/04/2020,43946
44,996,42,26/04/2020,43947
45,1094,98,27/04/2020,43948
46,1163,69,28/04/2020,43949
47,1240,77,29/04/2020,43950
48,1351,111,30/04/2020,43951
49,1495,144,01/05/2020,43952
50,1537,42,02/05/2020,43953
51,1586,49,03/05/2020,43954
52,1586,0,04/05/2020,43955
53,1710,124,05/05/2020,43956
54,1811,101,06/05/2020,43957
55,1856,45,07/05/2020,43958
56,1927,71,08/05/2020,43959
57,2009,82,09/05/2020,43960
58,2042,33,10/05/2020,43961
59,2146,104,11/05/2020,43962
60,2213,67,12/05/2020,43963
61,2213,0,13/05/2020,43964
62,2374,161,14/05/2020,43965
63,2473,99,15/05/2020,43966
64,2531,58,16/05/2020,43967
65,2658,127,17/05/2020,43968
66,2658,0,18/05/2020,43969
67,2796,138,19/05/2020,43970
68,2863,67,20/05/2020,43971
69,2863,0,21/05/2020,43972
70,3067,204,22/05/2020,43973
71,3067,0,23/05/2020,43974
72,3176,109,24/05/2020,43975
73,3275,99,25/05/2020,43976
74,3275,0,26/05/2020,43977
75,3358,83,27/05/2020,43978
76,3446,88,28/05/2020,43979
77,3553,107,29/05/2020,43980
78,3656,103,30/05/2020,43981
79,3706,50,31/05/2020,43982
80,3771,65,01/06/2020,43983
81,3844,73,02/06/2020,43984
82,3844,0,03/06/2020,43985
83,3886,42,04/06/2020,43986
84,3991,105,05/06/2020,43987
85,4060,69,06/06/2020,43988
86,4117,57,07/06/2020,43989
87,4165,48,08/06/2020,43990
88,4216,51,09/06/2020,43991
89,4258,42,10/06/2020,43992
90,4258,0,11/06/2020,43993
91,4372,114,12/06/2020,43994
92,4426,54,13/06/2020,43995
93,4484,58,14/06/2020,43996
94,4532,48,15/06/2020,43997
95,4572,40,16/06/2020,43998
96,4639,67,17/06/2020,43999
97,4668,29,18/06/2020,44000
98,4841,173,19/06/2020,44001
99,4904,63,20/06/2020,44002
100,4960,56,21/06/2020,44003
101,4988,28,22/06/2020,44004
102,4988,0,23/06/2020,44005
103,5104,116,24/06/2020,44006
104,5174,70,25/06/2020,44007
105,5211,37,26/06/2020,44008
106,5260,49,27/06/2020,44009
107,5291,31,28/06/2020,44010
108,5342,51,29/06/2020,44011
109,5351,9,30/06/2020,44012
110,5391,40,01/07/2020,44013
111,5404,13,02/07/2020,44014
112,5450,46,03/07/2020,44015
113,5521,71,04/07/2020,44016
114,5570,49,05/07/2020,44017
115,5610,40,06/07/2020,44018
116,5636,26,07/07/2020,44019
117,5697,61,08/07/2020,44020
118,5697,0,09/07/2020,44021
119,5881,184,10/07/2020,44022
120,5969,88,11/07/2020,44023
121,6044,75,12/07/2020,44024
122,6141,97,13/07/2020,44025
123,6141,0,14/07/2020,44026
124,6141,0,15/07/2020,44027
125,6276,135,16/07/2020,44028
126,6276,0,17/07/2020,44029
127,6430,154,18/07/2020,44030
128,6491,61,19/07/2020,44031
129,6544,53,20/07/2020,44032
130,6590,46,21/07/2020,44033
131,6652,62,22/07/2020,44034
132,6747,95,23/07/2020,44035
133,6806,59,24/07/2020,44036
134,6867,61,25/07/2020,44037
135,6927,60,26/07/2020,44038
136,7008,81,27/07/2020,44039
137,7055,47,28/07/2020,44040
138,7126,71,29/07/2020,44041
139,7183,57,30/07/2020,44042
140,7242,59,31/07/2020,44043
141,7308,66,01/08/2020,44044
142,7317,9,02/08/2020,44045
143,7364,47,03/08/2020,44046
144,7364,0,04/08/2020,44047
145,7489,125,05/08/2020,44048
146,7575,86,06/08/2020,44049
147,7664,89,07/08/2020,44050
148,7777,113,08/08/2020,44051
149,7875,98,09/08/2020,44052
150,7930,55,10/08/2020,44053
151,7930,0,11/08/2020,44054
152,8018,88,12/08/2020,44055
