Time,Cum_Cases,Confirmed,Date,Day
1,1,1,28/02/2020,43889
2,1,0,29/02/2020,43890
3,1,0,01/03/2020,43891
4,1,0,02/03/2020,43892
5,1,0,03/03/2020,43893
6,1,0,04/03/2020,43894
7,1,0,05/03/2020,43895
8,1,0,06/03/2020,43896
9,1,0,07/03/2020,43897
10,1,0,08/03/2020,43898
11,2,1,09/03/2020,43899
12,2,0,10/03/2020,43900
13,2,0,11/03/2020,43901
14,2,0,12/03/2020,43902
15,2,0,13/03/2020,43903
16,2,0,14/03/2020,43904
17,2,0,15/03/2020,43905
18,2,0,16/03/2020,43906
19,3,1,17/03/2020,43907
20,8,5,18/03/2020,43908
21,12,4,19/03/2020,43909
22,12,0,20/03/2020,43910
23,22,10,21/03/2020,43911
24,30,8,22/03/2020,43912
25,40,10,23/03/2020,43913
26,44,4,24/03/2020,43914
27,51,7,25/03/2020,43915
28,65,14,26/03/2020,43916
29,81,16,27/03/2020,43917
30,97,16,28/03/2020,43918
31,111,4,29/03/2020,43919
32,131,20,30/03/2020,43920
33,135,4,31/03/2020,43921
34,174,39,01/04/2020,43922
35,184,10,02/04/2020,43923
36,190,6,03/04/2020,43924
37,210,20,04/04/2020,43925
38,232,22,05/04/2020,43926
39,238,6,06/04/2020,43927
40,254,16,07/04/2020,43928
41,276,22,08/04/2020,43929
42,288,12,09/04/2020,43930
43,305,17,10/04/2020,43931
44,318,13,11/04/2020,43932
45,323,5,12/04/2020,43933
46,343,20,13/04/2020,43934
47,373,30,14/04/2020,43935
48,407,34,15/04/2020,43936
49,442,35,16/04/2020,43937
50,493,51,17/04/2020,43938
51,542,49,18/04/2020,43939
52,627,85,19/04/2020,43940
53,665,38,20/04/2020,43941
54,782,117,21/04/2020,43942
55,873,91,22/04/2020,43943
56,981,108,23/04/2020,43944
57,1095,114,24/04/2020,43945
58,1182,87,25/04/2020,43946
59,1273,91,26/04/2020,43947
60,1337,64,27/04/2020,43948
61,1532,195,28/04/2020,43949
62,1728,196,29/04/2020,43950
63,1932,204,30/04/2020,43951
64,2170,238,01/05/2020,43952
65,2388,218,02/05/2020,43953
66,2558,170,03/05/2020,43954
67,2802,244,04/05/2020,43955
68,2950,148,05/05/2020,43956
69,3145,195,06/05/2020,43957
70,3526,381,07/05/2020,43958
71,3912,386,08/05/2020,43959
72,4151,239,09/05/2020,43960
73,4399,248,10/05/2020,43961
74,4641,242,11/05/2020,43962
75,4787,146,12/05/2020,43963
76,4971,184,13/05/2020,43964
77,5162,191,14/05/2020,43965
78,5445,283,15/05/2020,43966
79,5621,176,16/05/2020,43967
80,5959,338,17/05/2020,43968
81,6175,216,18/05/2020,43969
82,6401,226,19/05/2020,43970
83,6677,276,20/05/2020,43971
84,7016,339,21/05/2020,43972
85,7261,245,22/05/2020,43973
86,7526,265,23/05/2020,43974
87,7839,313,24/05/2020,43975
88,8068,229,25/05/2020,43976
89,8344,276,26/05/2020,43977
90,8733,389,27/05/2020,43978
91,8915,182,28/05/2020,43979
92,9302,387,29/05/2020,43980
93,9855,553,30/05/2020,43981
94,10162,307,31/05/2020,43982
95,10578,416,01/06/2020,43983
96,10819,241,02/06/2020,43984
97,11166,347,03/06/2020,43985
98,11516,350,04/06/2020,43986
99,11844,328,05/06/2020,43987
100,12233,389,06/06/2020,43988
101,12486,253,07/06/2020,43989
102,12801,315,08/06/2020,43990
103,13464,663,09/06/2020,43991
104,13873,409,10/06/2020,43992
105,14554,681,11/06/2020,43993
106,15181,627,12/06/2020,43994
107,15682,501,13/06/2020,43995
108,16085,403,14/06/2020,43996
109,16658,573,15/06/2020,43997
110,17148,490,16/06/2020,43998
111,17735,587,17/06/2020,43999
112,18480,745,18/06/2020,44000
113,19147,667,19/06/2020,44001
114,19808,661,20/06/2020,44002
115,20244,436,21/06/2020,44003
116,20919,675,22/06/2020,44004
117,21371,452,23/06/2020,44005
118,22020,649,24/06/2020,44006
119,22614,594,25/06/2020,44007
120,23298,684,26/06/2020,44008
121,24077,779,27/06/2020,44009
122,24567,490,28/06/2020,44010
123,25133,566,29/06/2020,44011
124,25694,561,30/06/2020,44012
125,26484,790,01/07/2020,44013
126,27110,626,02/07/2020,44014
127,27564,454,03/07/2020,44015
128,28167,603,04/07/2020,44016
129,28711,544,05/07/2020,44017
130,29286,575,06/07/2020,44018
131,29789,503,07/07/2020,44019
132,30249,460,08/07/2020,44020
133,30748,499,09/07/2020,44021
134,31323,575,10/07/2020,44022
135,31987,664,11/07/2020,44023
136,32558,571,12/07/2020,44024
137,33153,595,13/07/2020,44025
138,33616,463,14/07/2020,44026
139,34259,643,15/07/2020,44027
140,34854,595,16/07/2020,44028
141,35454,600,17/07/2020,44029
142,36107,653,18/07/2020,44030
143,36663,556,19/07/2020,44031
144,37225,562,20/07/2020,44032
145,37801,576,21/07/2020,44033
146,38344,543,22/07/2020,44034
147,38344,543,23/07/2020,44035
148,38948,604,24/07/2020,44036
149,39539,591,25/07/2020,44037
150,39977,438,26/07/2020,44038
151,40532,555,27/07/2020,44039
152,41180,648,28/07/2020,44040
153,41804,624,29/07/2020,44041
154,42208,404,30/07/2020,44042
155,42689,481,31/07/2020,44043
156,43151,462,01/08/2020,44044
157,43537,386,02/08/2020,44045
158,43841,304,03/08/2020,44046
159,44129,288,04/08/2020,44047
160,44433,304,05/08/2020,44048
161,44890,457,06/08/2020,44049
162,45244,354,07/08/2020,44050
163,45687,443,08/08/2020,44051
164,46140,453,09/08/2020,44052
165,46577,437,10/08/2020,44053
166,46867,290,11/08/2020,44054
167,47290,423,12/08/2020,44055
