Time,Cum_Cases,Confirmed,Date,Day
1,1,1,02/03/2020,43893
2,2,1,03/03/2020,43894
3,4,2,04/03/2020,43895
4,4,0,05/03/2020,43896
5,4,0,06/03/2020,43897
6,4,0,07/03/2020,43898
7,4,0,08/03/2020,43899
8,4,0,09/03/2020,43900
9,4,0,10/03/2020,43901
10,4,0,11/03/2020,43902
11,10,6,12/03/2020,43903
12,21,11,13/03/2020,43904
13,24,3,14/03/2020,43905
14,26,2,15/03/2020,43906
15,27,1,16/03/2020,43907
16,31,4,17/03/2020,43908
17,36,5,18/03/2020,43909
18,36,0,19/03/2020,43910
19,47,11,20/03/2020,43911
20,56,9,21/03/2020,43912
21,67,11,22/03/2020,43913
22,79,12,23/03/2020,43914
23,86,7,24/03/2020,43915
24,99,13,25/03/2020,43916
25,105,6,26/03/2020,43917
26,119,14,27/03/2020,43918
27,130,11,28/03/2020,43919
28,142,12,29/03/2020,43920
29,162,20,30/03/2020,43921
30,175,13,31/03/2020,43922
31,190,15,01/04/2020,43923
32,195,5,02/04/2020,43924
33,207,12,03/04/2020,43925
34,219,12,04/04/2020,43926
35,222,3,05/04/2020,43927
36,226,4,06/04/2020,43928
37,237,11,07/04/2020,43929
38,244,7,08/04/2020,43930
39,250,6,09/04/2020,43931
40,265,15,10/04/2020,43932
41,278,13,11/04/2020,43933
42,280,2,12/04/2020,43934
43,291,11,13/04/2020,43935
44,299,8,14/04/2020,43936
45,314,15,15/04/2020,43937
46,335,21,16/04/2020,43938
47,342,7,17/04/2020,43939
48,350,8,18/04/2020,43940
49,367,17,19/04/2020,43941
50,377,10,20/04/2020,43942
51,412,35,21/04/2020,43943
52,442,30,22/04/2020,43944
53,479,37,23/04/2020,43945
54,545,66,24/04/2020,43946
55,614,69,25/04/2020,43947
56,671,57,26/04/2020,43948
57,735,64,27/04/2020,43949
58,823,88,28/04/2020,43950
59,882,59,29/04/2020,43951
60,933,51,30/04/2020,43952
61,1024,91,01/05/2020,43953
62,1115,91,02/05/2020,43954
63,1182,67,03/05/2020,43955
64,1271,89,04/05/2020,43956
65,1329,58,05/05/2020,43957
66,1433,104,06/05/2020,43958
67,1492,59,07/05/2020,43959
68,1551,59,08/05/2020,43960
69,1634,83,09/05/2020,43961
70,1709,75,10/05/2020,43962
71,1886,177,11/05/2020,43963
72,1995,109,12/05/2020,43964
73,2105,110,13/05/2020,43965
74,2189,84,14/05/2020,43966
75,2310,121,15/05/2020,43967
76,2429,119,16/05/2020,43968
77,2480,51,17/05/2020,43969
78,2544,64,18/05/2020,43970
79,2617,73,19/05/2020,43971
80,2714,97,20/05/2020,43972
81,2812,98,21/05/2020,43973
82,2909,97,22/05/2020,43974
83,2976,67,23/05/2020,43975
84,3047,71,24/05/2020,43976
85,3130,83,25/05/2020,43977
86,3161,31,26/05/2020,43978
87,3253,92,27/05/2020,43979
88,3348,95,28/05/2020,43980
89,3429,81,29/05/2020,43981
90,3535,106,30/05/2020,43982
91,3645,110,31/05/2020,43983
92,3739,94,01/06/2020,43984
93,3836,97,02/06/2020,43985
94,3932,96,03/06/2020,43986
95,4021,89,04/06/2020,43987
96,4155,134,05/06/2020,43988
97,4249,94,06/06/2020,43989
98,4328,79,07/06/2020,43990
99,4427,99,08/06/2020,43991
100,4516,89,09/06/2020,43992
101,4640,124,10/06/2020,43993
102,4759,119,11/06/2020,43994
103,4851,92,12/06/2020,43995
104,4996,145,13/06/2020,43996
105,5090,94,14/06/2020,43997
106,5173,83,15/06/2020,43998
107,5247,74,16/06/2020,43999
108,5369,122,17/06/2020,44000
109,5475,106,18/06/2020,44001
110,5639,164,19/06/2020,44002
111,5738,99,20/06/2020,44003
112,5888,150,21/06/2020,44004
113,5970,82,22/06/2020,44005
114,6034,64,23/06/2020,44006
115,6129,95,24/06/2020,44007
116,6233,104,25/06/2020,44008
117,6354,121,26/06/2020,44009
118,6459,105,27/06/2020,44010
119,6586,127,28/06/2020,44011
120,6698,112,29/06/2020,44012
121,6793,95,30/06/2020,44013
122,6925,132,01/07/2020,44014
123,7054,129,02/07/2020,44015
124,7164,110,03/07/2020,44016
125,7272,108,04/07/2020,44017
126,7400,128,05/07/2020,44018
127,7478,78,06/07/2020,44019
128,7547,69,07/07/2020,44020
129,7657,110,08/07/2020,44021
130,7784,127,09/07/2020,44022
131,7882,98,10/07/2020,44023
132,8014,132,11/07/2020,44024
133,8135,121,12/07/2020,44025
134,8198,63,13/07/2020,44026
135,8243,45,14/07/2020,44027
136,8369,126,15/07/2020,44028
137,8481,112,16/07/2020,44029
138,8544,63,17/07/2020,44030
139,8669,125,18/07/2020,44031
140,8810,141,19/07/2020,44032
141,8948,138,20/07/2020,44033
142,8985,37,21/07/2020,44034
143,9121,136,22/07/2020,44035
144,9266,145,23/07/2020,44036
145,9422,156,24/07/2020,44037
146,9552,130,25/07/2020,44038
147,9681,129,26/07/2020,44039
148,9764,83,27/07/2020,44040
149,9805,41,28/07/2020,44041
150,9961,156,29/07/2020,44042
151,10106,145,30/07/2020,44043
152,10232,126,31/07/2020,44044
153,10284,52,01/08/2020,44045
154,10344,60,02/08/2020,44046
155,10386,42,03/08/2020,44047
156,10432,46,04/08/2020,44048
157,10538,106,05/08/2020,44049
158,10715,177,06/08/2020,44050
159,10887,172,07/08/2020,44051
160,11033,146,08/08/2020,44052
161,11175,142,09/08/2020,44053
162,11312,137,10/08/2020,44054
163,11380,68,11/08/2020,44055
164,11587,207,12/08/2020,44056
