Time,Cum_Cases,Confirmed,date,Day
1,1,1,01/04/2020,43922
2,1,0,02/04/2020,43923
3,2,1,03/04/2020,43924
4,2,0,04/04/2020,43925
5,4,2,05/04/2020,43926
6,6,2,06/04/2020,43927
7,6,0,07/04/2020,43928
8,6,0,08/04/2020,43929
9,7,1,09/04/2020,43930
10,7,0,10/04/2020,43931
11,8,1,11/04/2020,43932
12,10,2,12/04/2020,43933
13,10,0,13/04/2020,43934
14,11,1,14/04/2020,43935
15,11,0,15/04/2020,43936
16,13,2,16/04/2020,43937
17,15,2,17/04/2020,43938
18,26,11,18/04/2020,43939
19,30,4,19/04/2020,43940
20,35,5,20/04/2020,43941
21,43,8,21/04/2020,43942
22,50,7,22/04/2020,43943
23,61,11,23/04/2020,43944
24,64,3,24/04/2020,43945
25,82,18,25/04/2020,43946
26,82,0,26/04/2020,43947
27,93,11,27/04/2020,43948
28,99,6,28/04/2020,43949
29,104,5,29/04/2020,43950
30,116,12,30/04/2020,43951
31,124,8,01/05/2020,43952
32,136,12,02/05/2020,43953
33,155,19,03/05/2020,43954
34,157,2,04/05/2020,43955
35,178,21,05/05/2020,43956
36,199,21,06/05/2020,43957
37,225,26,07/05/2020,43958
38,231,6,08/05/2020,43959
39,257,26,09/05/2020,43960
40,291,34,10/05/2020,43961
41,307,16,11/05/2020,43962
42,338,31,12/05/2020,43963
43,338,0,13/05/2020,43964
44,387,49,14/05/2020,43965
45,408,21,15/05/2020,43966
46,447,39,16/05/2020,43967
47,462,15,17/05/2020,43968
48,505,43,18/05/2020,43969
49,519,14,19/05/2020,43970
50,534,15,20/05/2020,43971
51,570,36,21/05/2020,43972
52,585,15,22/05/2020,43973
53,606,21,23/05/2020,43974
54,621,15,24/05/2020,43975
55,707,86,25/05/2020,43976
56,735,28,26/05/2020,43977
57,754,19,27/05/2020,43978
58,782,28,28/05/2020,43979
59,812,30,29/05/2020,43980
60,829,17,30/05/2020,43981
61,852,23,31/05/2020,43982
62,861,9,01/06/2020,43983
63,861,0,02/06/2020,43984
64,896,35,03/06/2020,43985
65,909,13,04/06/2020,43986
66,914,5,05/06/2020,43987
67,929,15,06/06/2020,43988
68,946,17,07/06/2020,43989
69,969,23,08/06/2020,43990
70,1001,32,09/06/2020,43991
71,1025,24,10/06/2020,43992
72,1062,37,11/06/2020,43993
73,1085,23,12/06/2020,43994
74,1103,18,13/06/2020,43995
75,1132,29,14/06/2020,43996
76,1169,37,15/06/2020,43997
77,1176,7,16/06/2020,43998
78,1225,49,17/06/2020,43999
79,1249,24,18/06/2020,44000
80,1272,23,19/06/2020,44001
81,1298,26,20/06/2020,44002
82,1309,11,21/06/2020,44003
83,1327,18,22/06/2020,44004
84,1340,13,23/06/2020,44005
85,1347,7,24/06/2020,44006
86,1354,7,25/06/2020,44007
87,1381,27,26/06/2020,44008
88,1394,13,27/06/2020,44009
89,1410,16,28/06/2020,44010
90,1427,17,29/06/2020,44011
91,1450,23,30/06/2020,44012
92,1462,12,01/07/2020,44013
93,1498,36,02/07/2020,44014
94,1518,20,03/07/2020,44015
95,1524,6,04/07/2020,44016
96,1533,9,05/07/2020,44017
97,1542,9,06/07/2020,44018
98,1542,0,07/07/2020,44019
99,1572,30,08/07/2020,44020
100,1584,12,09/07/2020,44021
101,1598,14,10/07/2020,44022
102,1613,15,11/07/2020,44023
103,1618,5,12/07/2020,44024
104,1635,17,13/07/2020,44025
105,1642,7,14/07/2020,44026
106,1651,9,15/07/2020,44027
107,1668,17,16/07/2020,44028
108,1678,10,17/07/2020,44029
109,1688,10,18/07/2020,44030
110,1701,13,19/07/2020,44031
111,1711,10,20/07/2020,44032
112,1711,0,21/07/2020,44033
113,1727,16,22/07/2020,44034
114,1731,4,23/07/2020,44035
115,1752,21,24/07/2020,44036
116,1752,0,25/07/2020,44037
117,1768,16,26/07/2020,44038
118,1783,15,27/07/2020,44039
119,1783,0,28/07/2020,44040
120,1786,3,29/07/2020,44041
121,1803,17,30/07/2020,44042
122,1818,15,31/07/2020,44043
123,1818,0,01/08/2020,44044
124,1823,5,02/08/2020,44045
125,1843,20,03/08/2020,44046
126,1848,5,04/08/2020,44047
127,1855,7,05/08/2020,44048
128,1860,5,06/08/2020,44049
129,1877,17,07/08/2020,44050
130,1887,10,08/08/2020,44051
131,1895,8,09/08/2020,44052
132,1916,21,10/08/2020,44053
133,1917,1,11/08/2020,44054
134,1932,15,12/08/2020,44055
