Time,Cum_Cases,Confirmed,date,Day
1,1,1,07/03/2020,43897
2,1,0,08/03/2020,43898
3,1,0,09/03/2020,43899
4,1,0,10/03/2020,43900
5,1,0,11/03/2020,43901
6,1,0,12/03/2020,43902
7,1,0,13/03/2020,43903
8,1,0,14/03/2020,43904
9,1,0,15/03/2020,43905
10,1,0,16/03/2020,43906
11,1,0,17/03/2020,43907
12,1,0,18/03/2020,43908
13,1,0,19/03/2020,43909
14,1,0,20/03/2020,43910
15,9,8,21/03/2020,43911
16,15,6,22/03/2020,43912
17,15,0,23/03/2020,43913
18,18,3,24/03/2020,43914
19,18,0,25/03/2020,43915
20,23,5,26/03/2020,43916
21,24,1,27/03/2020,43917
22,25,1,28/03/2020,43918
23,28,3,29/03/2020,43919
24,30,2,30/03/2020,43920
25,34,4,31/03/2020,43921
26,34,0,01/04/2020,43922
27,36,2,02/04/2020,43923
28,39,3,03/04/2020,43924
29,40,1,04/04/2020,43925
30,41,1,05/04/2020,43926
31,44,3,06/04/2020,43927
32,58,14,07/04/2020,43928
33,65,7,08/04/2020,43929
34,70,5,09/04/2020,43930
35,73,3,10/04/2020,43931
36,76,3,11/04/2020,43932
37,76,0,12/04/2020,43933
38,76,0,13/04/2020,43934
39,77,1,14/04/2020,43935
40,77,0,15/04/2020,43936
41,81,4,16/04/2020,43937
42,81,0,17/04/2020,43938
43,83,2,18/04/2020,43939
44,84,1,19/04/2020,43940
45,84,0,20/04/2020,43941
46,84,0,21/04/2020,43942
47,86,2,22/04/2020,43943
48,88,2,23/04/2020,43944
49,88,0,24/04/2020,43945
50,90,2,25/04/2020,43946
51,96,6,26/04/2020,43947
52,98,2,27/04/2020,43948
53,99,1,28/04/2020,43949
54,99,0,29/04/2020,43950
55,109,10,30/04/2020,43951
56,116,7,01/05/2020,43952
57,123,7,02/05/2020,43953
58,123,0,03/05/2020,43954
59,124,1,04/05/2020,43955
60,126,2,05/05/2020,43956
61,128,2,06/05/2020,43957
62,128,0,07/05/2020,43958
63,135,7,08/05/2020,43959
64,145,10,09/05/2020,43960
65,153,8,10/05/2020,43961
66,174,21,11/05/2020,43962
67,181,7,12/05/2020,43963
68,199,18,13/05/2020,43964
69,219,20,14/05/2020,43965
70,238,19,15/05/2020,43966
71,263,25,16/05/2020,43967
72,298,35,17/05/2020,43968
73,301,3,18/05/2020,43969
74,330,29,19/05/2020,43970
75,338,8,20/05/2020,43971
76,340,2,21/05/2020,43972
77,354,14,22/05/2020,43973
78,363,9,23/05/2020,43974
79,373,10,24/05/2020,43975
80,381,8,25/05/2020,43976
81,386,5,26/05/2020,43977
82,391,5,27/05/2020,43978
83,395,4,28/05/2020,43979
84,422,27,29/05/2020,43980
85,428,6,30/05/2020,43981
86,433,5,31/05/2020,43982
87,442,9,01/06/2020,43983
88,443,1,02/06/2020,43984
89,445,2,03/06/2020,43985
90,452,7,04/06/2020,43986
91,465,13,05/06/2020,43987
92,485,20,06/06/2020,43988
93,487,2,07/06/2020,43989
94,495,8,08/06/2020,43990
95,497,2,09/06/2020,43991
96,501,4,10/06/2020,43992
97,522,21,11/06/2020,43993
98,524,2,12/06/2020,43994
99,525,1,13/06/2020,43995
100,530,5,14/06/2020,43996
101,531,1,15/06/2020,43997
102,532,1,16/06/2020,43998
103,537,5,17/06/2020,43999
104,544,7,18/06/2020,44000
105,547,3,19/06/2020,44001
106,555,8,20/06/2020,44002
107,561,6,21/06/2020,44003
108,569,8,22/06/2020,44004
109,569,0,23/06/2020,44005
110,576,7,24/06/2020,44006
111,583,7,25/06/2020,44007
112,588,5,26/06/2020,44008
113,591,3,27/06/2020,44009
114,615,24,28/06/2020,44010
115,642,27,29/06/2020,44011
116,643,1,30/06/2020,44012
117,650,7,01/07/2020,44013
118,661,11,02/07/2020,44014
119,667,6,03/07/2020,44015
120,671,4,04/07/2020,44016
121,676,5,05/07/2020,44017
122,680,4,06/07/2020,44018
123,680,0,07/07/2020,44019
124,689,9,08/07/2020,44020
125,695,6,09/07/2020,44021
126,704,9,10/07/2020,44022
127,710,6,11/07/2020,44023
128,718,8,12/07/2020,44024
129,720,2,13/07/2020,44025
130,721,1,14/07/2020,44026
131,731,10,15/07/2020,44027
132,740,9,16/07/2020,44028
133,749,9,17/07/2020,44029
134,749,0,18/07/2020,44030
135,766,17,19/07/2020,44031
136,774,8,20/07/2020,44032
137,783,9,21/07/2020,44033
138,790,7,22/07/2020,44034
139,806,16,23/07/2020,44035
140,828,22,24/07/2020,44036
141,839,11,25/07/2020,44037
142,853,14,26/07/2020,44038
143,868,15,27/07/2020,44039
144,874,6,28/07/2020,44040
145,896,22,29/07/2020,44041
146,896,0,30/07/2020,44042
147,927,31,31/07/2020,44043
148,941,14,01/08/2020,44044
149,958,17,02/08/2020,44045
150,961,3,03/08/2020,44046
151,976,15,04/08/2020,44047
152,988,12,05/08/2020,44048
153,1001,13,06/08/2020,44049
154,1012,11,07/08/2020,44050
155,1028,16,08/08/2020,44051
156,1046,18,09/08/2020,44052
157,1060,14,10/08/2020,44053
158,1067,7,11/08/2020,44054
159,1070,3,12/08/2020,44055
