Time,Cum_Cases,Confirmed,Date,Day
1,29,11,13/03/2020,43903
2,33,4,14/03/2020,43904
3,44,11,15/03/2020,43905
4,59,15,16/03/2020,43906
5,67,8,17/03/2020,43907
6,83,16,18/03/2020,43908
7,106,23,19/03/2020,43909
8,133,27,20/03/2020,43910
9,198,65,21/03/2020,43911
10,244,46,22/03/2020,43912
11,306,62,23/03/2020,43913
12,362,56,24/03/2020,43914
13,483,121,25/03/2020,43915
14,592,109,26/03/2020,43916
15,683,91,27/03/2020,43917
16,747,64,28/03/2020,43918
17,861,104,29/03/2020,43919
18,970,109,30/03/2020,43920
19,1032,62,31/03/2020,43921
20,1164,145,01/04/2020,43922
21,1282,118,02/04/2020,43923
22,1358,76,03/04/2020,43924
23,1485,127,04/04/2020,43925
24,1660,175,05/04/2020,43926
25,1869,209,06/04/2020,43927
26,2070,201,07/04/2020,43928
27,2257,187,08/04/2020,43929
28,2501,244,09/04/2020,43930
29,2706,205,10/04/2020,43931
30,2933,227,11/04/2020,43932
31,3283,350,12/04/2020,43933
32,3415,132,13/04/2020,43934
33,3703,288,14/04/2020,43935
34,3862,159,15/04/2020,43936
35,4063,201,16/04/2020,43937
36,4267,204,17/04/2020,43938
37,4669,402,18/04/2020,43939
38,5110,441,19/04/2020,43940
39,5363,253,20/04/2020,43941
40,5656,293,21/04/2020,43942
41,6022,366,22/04/2020,43943
42,6345,323,23/04/2020,43944
43,6889,544,24/04/2020,43945
44,7265,376,25/04/2020,43946
45,7965,700,26/04/2020,43947
46,8293,328,27/04/2020,43948
47,8886,593,28/04/2020,43949
48,9278,392,29/04/2020,43950
49,10206,928,30/04/2020,43951
50,10932,726,01/05/2020,43952
51,11494,562,02/05/2020,43953
52,11979,485,03/05/2020,43954
53,13057,1077,04/05/2020,43955
54,13528,471,05/05/2020,43956
55,14504,976,06/05/2020,43957
56,15205,700,07/05/2020,43958
57,16824,1619,08/05/2020,43959
58,17656,831,09/05/2020,43960
59,18190,534,10/05/2020,43961
60,19350,1160,11/05/2020,43962
61,20209,858,12/05/2020,43963
62,21047,838,13/05/2020,43964
63,21808,761,14/05/2020,43965
64,22644,835,15/05/2020,43966
65,23278,634,16/05/2020,43967
66,23993,715,17/05/2020,43968
67,24467,473,18/05/2020,43969
68,25367,900.4,19/05/2020,43970
69,26094,727,20/05/2020,43971
70,26974,880,21/05/2020,43972
71,27825,851,22/05/2020,43973
72,28356,531,23/05/2020,43974
73,29151,795,24/05/2020,43975
74,29845,694,25/05/2020,43976
75,30665,820,26/05/2020,43977
76,31552,887,27/05/2020,43978
77,32113,561,28/05/2020,43979
78,33314,1209,29/05/2020,43980
79,34553,1239,30/05/2020,43981
80,35512,959,31/05/2020,43982
81,36232,720,01/06/2020,43983
82,37141,909,02/06/2020,43984
83,38138,997,03/06/2020,43985
84,39011,873,04/06/2020,43986
85,40414,1403,05/06/2020,43987
86,41635,1221,06/06/2020,43988
87,42492,857,07/06/2020,43989
88,43478,986,08/06/2020,43990
89,44911,1399,09/06/2020,43991
90,46090,1213,10/06/2020,43992
91,47290,1200,11/06/2020,43993
92,49295,2005,12/06/2020,43994
93,51004,1709,13/06/2020,43995
94,52396,1392,14/06/2020,43996
95,53830,1434,15/06/2020,43997
96,55305,1475,16/06/2020,43998
97,57075,1770,17/06/2020,43999
98,58782,1707,18/06/2020,44000
99,60407,1625,19/06/2020,44001
100,62217,1810,20/06/2020,44002
101,64521,2304,21/06/2020,44003
102,66076,1555,22/06/2020,44004
103,67362,1286,23/06/2020,44005
104,69227,1865,24/06/2020,44006
105,70972,1745,25/06/2020,44007
106,73013,2041,26/06/2020,44008
107,74905,1892,27/06/2020,44009
108,77318,2413,28/06/2020,44010
109,78437,1119,29/06/2020,44011
110,80203,1766,30/06/2020,44012
111,81956,1753,01/07/2020,44013
112,83061,1105,02/07/2020,44014
113,85714,2653,03/07/2020,44015
114,86910,1196,04/07/2020,44016
115,88976,2066,05/07/2020,44017
116,91139,2163,06/07/2020,44018
117,92916,1777,07/07/2020,44019
118,94589,1673,08/07/2020,44020
119,96648,2059,09/07/2020,44021
120,98241,1593,10/07/2020,44022
121,100090,1849,11/07/2020,44023
122,101586,1496,12/07/2020,44024
123,103339,1753,13/07/2020,44025
124,104241,902,14/07/2020,44026
125,105851,1610,15/07/2020,44027
126,107961,2110,16/07/2020,44028
127,109468,1507,17/07/2020,44029
128,111137,1669,18/07/2020,44030
129,112838,1701,19/07/2020,44031
130,115086,2248,20/07/2020,44032
131,116586,1500,21/07/2020,44033
132,118427,1841,22/07/2020,44034
133,118650,1585,23/07/2020,44035
134,120876,2226,24/07/2020,44036
135,122809,1933,25/07/2020,44037
136,124547,1738,26/07/2020,44038
137,126901,2354,27/07/2020,44039
138,128438,1537,28/07/2020,44040
139,130074,1636,29/07/2020,44041
140,131724,1650,30/07/2020,44042
141,132742,1018,31/07/2020,44043
142,134029,1276,01/08/2020,44044
143,136176,2150,02/08/2020,44045
144,136786,610,03/08/2020,44046
145,138320,1534,04/08/2020,44047
146,139147,827,05/08/2020,44048
147,141359,2212,06/08/2020,44049
148,143341,1982,07/08/2020,44050
149,144282,941,08/08/2020,44051
150,145870,1588,09/08/2020,44052
151,147157,1287,10/08/2020,44053
152,148036,879,11/08/2020,44054
153,149204,1168,12/08/2020,44055
