Time,Cum_Cases,Confirmed,Date,Day
1,1,1,16/03/2020,43906
2,1,0,17/03/2020,43907
3,1,0,18/03/2020,43908
4,2,1,19/03/2020,43909
5,2,0,20/03/2020,43910
6,2,0,21/03/2020,43911
7,2,0,22/03/2020,43912
8,5,3,23/03/2020,43913
9,5,0,24/03/2020,43914
10,5,0,25/03/2020,43915
11,6,1,26/03/2020,43916
12,6,0,27/03/2020,43917
13,6,0,28/03/2020,43918
14,6,0,29/03/2020,43919
15,6,0,30/03/2020,43920
16,8,2,31/03/2020,43921
17,13,5,01/04/2020,43922
18,13,0,02/04/2020,43923
19,16,3,03/04/2020,43924
20,16,0,04/04/2020,43925
21,22,6,05/04/2020,43926
22,26,4,06/04/2020,43927
23,26,0,07/04/2020,43928
24,26,0,08/04/2020,43929
25,30,4,09/04/2020,43930
26,35,5,10/04/2020,43931
27,35,0,11/04/2020,43932
28,35,0,12/04/2020,43933
29,35,0,13/04/2020,43934
30,35,0,14/04/2020,43935
31,35,0,15/04/2020,43936
32,35,0,16/04/2020,43937
33,35,0,17/04/2020,43938
34,35,0,18/04/2020,43939
35,35,0,19/04/2020,43940
36,54,19,20/04/2020,43941
37,54,0,21/04/2020,43942
38,54,0,22/04/2020,43943
39,54,0,23/04/2020,43944
40,54,0,24/04/2020,43945
41,54,0,25/04/2020,43946
42,64,10,26/04/2020,43947
43,64,0,27/04/2020,43948
44,64,0,28/04/2020,43949
45,69,5,29/04/2020,43950
46,84,15,30/04/2020,43951
47,90,6,01/05/2020,43952
48,90,0,02/05/2020,43953
49,92,2,03/05/2020,43954
50,95,2,04/05/2020,43955
51,97,2,05/05/2020,43956
52,99,2,06/05/2020,43957
53,102,2,07/05/2020,43958
54,104,2,08/05/2020,43959
55,107,2,09/05/2020,43960
56,109,2,10/05/2020,43961
57,111,2,11/05/2020,43962
58,114,2,12/05/2020,43963
59,116,2,13/05/2020,43964
60,118,2,14/05/2020,43965
61,121,2,15/05/2020,43966
62,123,2,16/05/2020,43967
63,125,2,17/05/2020,43968
64,128,2,18/05/2020,43969
65,130,2,19/05/2020,43970
66,130,0,20/05/2020,43971
67,135,5,21/05/2020,43972
68,135,0,22/05/2020,43973
69,187,52,23/05/2020,43974
70,191,4,24/05/2020,43975
71,191,0,25/05/2020,43976
72,208,17,26/05/2020,43977
73,210,2,27/05/2020,43978
74,218,8,28/05/2020,43979
75,224,14,29/05/2020,43980
76,232,8,30/05/2020,43981
77,236,4,31/05/2020,43982
78,243,7,01/06/2020,43983
79,244,1,02/06/2020,43984
80,244,0,03/06/2020,43985
81,261,17,04/06/2020,43986
82,268,7,05/06/2020,43987
83,268,0,06/06/2020,43988
84,288,20,07/06/2020,43989
85,288,0,08/06/2020,43990
86,339,17,09/06/2020,43991
87,357,52,10/06/2020,43992
88,388,31,11/06/2020,43993
89,412,24,12/06/2020,43994
90,442,30,13/06/2020,43995
91,470,28,14/06/2020,43996
92,483,13,15/06/2020,43997
93,532,49,16/06/2020,43998
94,572,40,17/06/2020,43999
95,597,25,18/06/2020,44000
96,650,53,19/06/2020,44001
97,650,0,20/06/2020,44002
98,765,115,21/06/2020,44003
99,807,42,22/06/2020,44004
100,850,43,23/06/2020,44005
101,902,52,24/06/2020,44006
102,1017,115,25/06/2020,44007
103,1053,36,26/06/2020,44008
104,1124,71,27/06/2020,44009
105,1149,25,28/06/2020,44010
106,1187,38,29/06/2020,44011
107,1199,12,30/06/2020,44012
108,1199,0,01/07/2020,44013
109,1199,0,02/07/2020,44014
110,1199,0,03/07/2020,44015
111,1199,0,04/07/2020,44016
112,1199,0,05/07/2020,44017
113,1199,0,06/07/2020,44018
114,1199,0,07/07/2020,44019
115,1285,86,08/07/2020,44020
116,1285,0,09/07/2020,44021
117,1285,0,10/07/2020,44022
118,1378,93,11/07/2020,44023
119,1378,0,12/07/2020,44024
120,1378,0,13/07/2020,44025
121,1378,0,14/07/2020,44026
122,1378,0,15/07/2020,44027
123,1463,85,16/07/2020,44028
124,1602,139,17/07/2020,44029
125,1602,0,18/07/2020,44030
126,1602,0,19/07/2020,44031
127,1602,0,20/07/2020,44032
128,1602,0,21/07/2020,44033
129,1690,88,22/07/2020,44034
130,1694,4,23/07/2020,44035
131,1694,0,24/07/2020,44036
132,1694,0,25/07/2020,44037
133,1694,0,26/07/2020,44038
134,1770,76,27/07/2020,44039
135,1770,0,28/07/2020,44040
136,1770,0,29/07/2020,44041
137,1770,0,30/07/2020,44042
138,1770,0,31/07/2020,44043
139,1805,35,01/08/2020,44044
140,1805,0,02/08/2020,44045
141,1805,0,03/08/2020,44046
142,1914,109,04/08/2020,44047
143,1914,0,05/08/2020,44048
144,1936,22,06/08/2020,44049
145,1936,0,07/08/2020,44050
146,1936,0,08/08/2020,44051
147,1936,0,09/08/2020,44052
148,1936,0,10/08/2020,44053
149,1936,0,11/08/2020,44054
150,2001,65,12/08/2020,44055
