Time,Cum_Cases,Confirmed,Date,Date
1,1,1,10/03/2020,43900.00
2,2,1,11/03/2020,43901.00
1,2,0,12/03/2020,43902.00
2,2,0,13/03/2020,43903.00
3,2,0,14/03/2020,43904.00
4,3,1,15/03/2020,43905.00
5,15,12,16/03/2020,43906.00
6,15,0,17/03/2020,43907.00
7,20,5,18/03/2020,43908.00
8,33,13,19/03/2020,43909.00
9,40,7,20/03/2020,43910.00
10,64,24,21/03/2020,43911.00
11,75,11,22/03/2020,43912.00
12,99,24,23/03/2020,43913.00
13,114,15,24/03/2020,43914.00
14,146,32,25/03/2020,43915.00
15,152,6,26/03/2020,43916.00
16,180,28,27/03/2020,43917.00
17,207,27,28/03/2020,43918.00
18,222,15,29/03/2020,43919.00
19,246,24,30/03/2020,43920.00
20,261,15,31/03/2020,43921.00
21,282,21,01/04/2020,43922.00
22,288,6,02/04/2020,43923.00
23,302,14,03/04/2020,43924.00
24,318,16,04/04/2020,43925.00
25,345,27,05/04/2020,43926.00
26,364,19,06/04/2020,43927.00
27,384,20,07/04/2020,43928.00
28,414,30,08/04/2020,43929.00
29,443,29,09/04/2020,43930.00
30,443,0,10/04/2020,43931.00
31,484,41,11/04/2020,43932.00
32,497,13,12/04/2020,43933.00
33,497,0,13/04/2020,43934.00
34,528,31,14/04/2020,43935.00
35,542,14,15/04/2020,43936.00
36,546,4,16/04/2020,43937.00
37,557,11,17/04/2020,43938.00
38,565,8,18/04/2020,43939.00
39,576,11,19/04/2020,43940.00
40,581,5,20/04/2020,43941.00
41,600,19,21/04/2020,43942.00
42,609,9,22/04/2020,43943.00
43,616,7,23/04/2020,43944.00
44,629,13,24/04/2020,43945.00
45,629,0,25/04/2020,43946.00
46,632,3,26/04/2020,43947.00
47,635,3,27/04/2020,43948.00
48,638,3,28/04/2020,43949.00
49,641,3,29/04/2020,43950.00
50,645,4,30/04/2020,43951.00
51,649,4,01/05/2020,43952.00
52,652,3,02/05/2020,43953.00
53,662,10,03/05/2020,43954.00
54,672,10,04/05/2020,43955.00
55,688,16,05/05/2020,43956.00
56,729,41,06/05/2020,43957.00
57,736,7,07/05/2020,43958.00
58,744,8,08/05/2020,43959.00
59,748,4,09/05/2020,43960.00
60,751,3,10/05/2020,43961.00
61,760,9,11/05/2020,43962.00
62,766,6,12/05/2020,43963.00
63,773,7,13/05/2020,43964.00
64,773,0,14/05/2020,43965.00
65,780,7,15/05/2020,43966.00
66,782,2,16/05/2020,43967.00
67,796,14,17/05/2020,43968.00
68,796,0,18/05/2020,43969.00
69,796,0,19/05/2020,43970.00
70,809,13,20/05/2020,43971.00
71,812,3,21/05/2020,43972.00
72,814,2,22/05/2020,43973.00
73,814,0,23/05/2020,43974.00
74,814,0,24/05/2020,43975.00
75,832,18,25/05/2020,43976.00
76,832,0,26/05/2020,43977.00
77,845,13,27/05/2020,43978.00
78,847,2,28/05/2020,43979.00
79,847,0,29/05/2020,43980.00
80,847,0,30/05/2020,43981.00
81,847,0,31/05/2020,43982.00
82,847,0,01/06/2020,43983.00
