Tme,Cum_Cases,Confirmed,date,Day
1,2,2,25/03/2020,43915
2,2,0,26/03/2020,43916
3,2,0,27/03/2020,43917
4,2,0,28/03/2020,43918
5,2,0,29/03/2020,43919
6,8,6,30/03/2020,43920
7,8,0,31/03/2020,43921
8,9,1,01/04/2020,43922
9,9,0,02/04/2020,43923
10,15,6,03/04/2020,43924
11,18,3,04/04/2020,43925
12,18,0,05/04/2020,43926
13,18,0,06/04/2020,43927
14,33,15,07/04/2020,43928
15,33,0,08/04/2020,43929
16,36,3,09/04/2020,43930
17,36,0,10/04/2020,43931
18,38,2,11/04/2020,43932
19,38,0,12/04/2020,43933
20,38,0,13/04/2020,43934
21,38,0,14/04/2020,43935
22,43,5,15/04/2020,43936
23,43,0,16/04/2020,43937
24,43,0,17/04/2020,43938
25,46,3,18/04/2020,43939
26,50,4,19/04/2020,43940
27,50,0,20/04/2020,43941
28,50,0,21/04/2020,43942
29,50,0,22/04/2020,43943
30,50,0,23/04/2020,43944
31,52,2,24/04/2020,43945
32,52,0,25/04/2020,43946
33,53,1,26/04/2020,43947
34,73,20,27/04/2020,43948
35,73,0,28/04/2020,43949
36,205,132,29/04/2020,43950
37,205,0,30/04/2020,43951
38,257,52,01/05/2020,43952
39,257,0,02/05/2020,43953
40,257,0,03/05/2020,43954
41,413,156,04/05/2020,43955
42,413,0,05/05/2020,43956
43,475,62,06/05/2020,43957
44,564,89,07/05/2020,43958
45,594,30,08/05/2020,43959
46,641,47,09/05/2020,43960
47,726,85,10/05/2020,43961
48,761,35,11/05/2020,43962
49,820,59,12/05/2020,43963
50,836,16,13/05/2020,43964
51,913,77,14/05/2020,43965
52,913,0,15/05/2020,43966
53,969,56,16/05/2020,43967
54,990,21,17/05/2020,43968
55,1032,42,18/05/2020,43969
56,1038,6,19/05/2020,43970
57,1089,51,20/05/2020,43971
58,1109,20,21/05/2020,43972
59,1114,5,22/05/2020,43973
60,1114,0,23/05/2020,43974
61,1114,0,24/05/2020,43975
62,1178,64,25/05/2020,43976
63,1178,0,26/05/2020,43977
64,1195,17,27/05/2020,43978
65,1195,0,28/05/2020,43979
66,1256,61,29/05/2020,43980
67,1256,0,30/05/2020,43981
68,1256,0,31/05/2020,43982
69,1339,83,01/06/2020,43983
70,1339,0,02/06/2020,43984
71,1339,0,03/06/2020,43985
72,1339,0,04/06/2020,43986
73,1368,29,05/06/2020,43987
74,1368,0,06/06/2020,43988
75,1368,0,07/06/2020,43989
76,1389,21,08/06/2020,43990
77,1389,0,09/06/2020,43991
78,1389,0,10/06/2020,43992
79,1389,0,11/06/2020,43993
80,1460,71,12/06/2020,43994
81,1460,0,13/06/2020,43995
82,1460,0,14/06/2020,43996
83,1492,32,15/06/2020,43997
84,1492,0,16/06/2020,43998
85,1492,0,17/06/2020,43999
86,1492,0,18/06/2020,44000
87,1541,49,19/06/2020,44001
88,1541,0,20/06/2020,44002
89,1541,0,21/06/2020,44003
90,1556,15,22/06/2020,44004
91,1556,0,23/06/2020,44005
92,1556,0,24/06/2020,44006
93,1556,0,25/06/2020,44007
94,1614,58,26/06/2020,44008
95,1614,0,27/06/2020,44009
96,1614,0,28/06/2020,44010
97,1654,40,29/06/2020,44011
98,1654,0,30/06/2020,44012
99,1654,0,01/07/2020,44013
100,1654,0,02/07/2020,44014
101,1765,111,03/07/2020,44015
102,1765,0,04/07/2020,44016
103,1765,0,05/07/2020,44017
104,1790,25,06/07/2020,44018
105,1790,0,07/07/2020,44019
106,1790,0,08/07/2020,44020
107,1790,0,09/07/2020,44021
108,1842,52,10/07/2020,44022
109,1842,0,11/07/2020,44023
110,1842,0,12/07/2020,44024
111,1842,0,13/07/2020,44025
112,1842,0,14/07/2020,44026
113,1842,0,15/07/2020,44027
114,1902,60,16/07/2020,44028
115,1927,25,17/07/2020,44029
116,1949,22,18/07/2020,44030
117,1949,0,19/07/2020,44031
118,1949,0,20/07/2020,44032
119,1954,5,21/07/2020,44033
120,1954,0,22/07/2020,44034
121,1954,0,23/07/2020,44035
122,1954,0,24/07/2020,44036
123,1954,0,25/07/2020,44037
124,1954,0,26/07/2020,44038
125,1954,0,27/07/2020,44039
126,1954,0,28/07/2020,44040
127,1954,0,29/07/2020,44041
128,1981,27,30/07/2020,44042
129,1981,0,31/07/2020,44043
130,1981,0,01/08/2020,44044
131,1981,0,02/08/2020,44045
132,1981,0,03/08/2020,44046
133,1981,0,04/08/2020,44047
134,2032,51,05/08/2020,44048
135,2032,0,06/08/2020,44049
136,2032,0,07/08/2020,44050
137,2052,20,08/08/2020,44051
138,2052,0,09/08/2020,44052
139,2052,0,10/08/2020,44053
140,2088,36,11/08/2020,44054
141,2088,0,12/08/2020,44055
