Time,Cum_Cases,Confirmed,date,Day
1,2,2,26/03/2020,43916
2,4,2,27/03/2020,43917
3,4,0,28/03/2020,43918
4,9,5,29/03/2020,43919
5,18,9,30/03/2020,43920
6,18,0,31/03/2020,43921
7,18,0,01/04/2020,43922
8,28,10,02/04/2020,43923
9,36,8,03/04/2020,43924
10,39,3,04/04/2020,43925
11,41,2,05/04/2020,43926
12,45,4,06/04/2020,43927
13,47,2,07/04/2020,43928
14,56,9,08/04/2020,43929
15,59,3,09/04/2020,43930
16,59,0,10/04/2020,43931
17,87,28,11/04/2020,43932
18,105,18,12/04/2020,43933
19,116,11,13/04/2020,43934
20,123,7,14/04/2020,43935
21,144,21,15/04/2020,43936
22,148,4,16/04/2020,43937
23,171,23,17/04/2020,43938
24,190,19,18/04/2020,43939
25,216,26,19/04/2020,43940
26,224,8,20/04/2020,43941
27,246,22,21/04/2020,43942
28,258,12,22/04/2020,43943
29,293,35,23/04/2020,43944
30,309,16,24/04/2020,43945
31,325,16,25/04/2020,43946
32,370,45,26/04/2020,43947
33,389,19,27/04/2020,43948
34,408,19,28/04/2020,43949
35,424,16,29/04/2020,43950
36,482,58,30/04/2020,43951
37,490,8,01/05/2020,43952
38,508,18,02/05/2020,43953
39,544,36,03/05/2020,43954
40,563,19,04/05/2020,43955
41,580,17,05/05/2020,43956
42,612,32,06/05/2020,43957
43,631,19,07/05/2020,43958
44,650,19,08/05/2020,43959
45,668,18,09/05/2020,43960
46,692,24,10/05/2020,43961
47,704,12,11/05/2020,43962
48,712,8,12/05/2020,43963
49,730,18,13/05/2020,43964
50,758,28,14/05/2020,43965
51,779,21,15/05/2020,43966
52,806,27,16/05/2020,43967
53,835,29,17/05/2020,43968
54,860,25,18/05/2020,43969
55,874,14,19/05/2020,43970
56,901,27,20/05/2020,43971
57,931,30,21/05/2020,43972
58,947,16,22/05/2020,43973
59,969,22,23/05/2020,43974
60,1015,46,24/05/2020,43975
61,1030,15,25/05/2020,43976
62,1059,29,26/05/2020,43977
63,1077,18,27/05/2020,43978
64,1116,39,28/05/2020,43979
65,1194,78,29/05/2020,43980
66,1226,32,30/05/2020,43981
67,1250,24,31/05/2020,43982
68,1265,15,01/06/2020,43983
69,1315,50,02/06/2020,43984
70,1351,36,03/06/2020,43985
71,1351,0,04/06/2020,43986
72,1461,110,05/06/2020,43987
73,1485,24,06/06/2020,43988
74,1523,38,07/06/2020,43989
75,1533,10,08/06/2020,43990
76,1547,14,09/06/2020,43991
77,1586,39,10/06/2020,43992
78,1667,81,11/06/2020,43993
79,1722,55,12/06/2020,43994
80,1752,30,13/06/2020,43995
81,1776,24,14/06/2020,43996
82,1809,33,15/06/2020,43997
83,1860,51,16/06/2020,43998
84,1885,25,17/06/2020,43999
85,1890,5,18/06/2020,44000
86,1906,16,19/06/2020,44001
87,1923,17,20/06/2020,44002
88,1933,10,21/06/2020,44003
89,1961,28,22/06/2020,44004
90,1961,0,23/06/2020,44005
91,1978,17,24/06/2020,44006
92,2001,23,25/06/2020,44007
93,2007,6,26/06/2020,44008
94,2039,32,27/06/2020,44009
95,2118,79,28/06/2020,44010
96,2147,29,29/06/2020,44011
97,2173,26,30/06/2020,44012
98,2181,8,01/07/2020,44013
99,2202,21,02/07/2020,44014
100,2260,58,03/07/2020,44015
101,2285,25,04/07/2020,44016
102,2303,18,05/07/2020,44017
103,2330,27,06/07/2020,44018
104,2331,1,07/07/2020,44019
105,2348,17,08/07/2020,44020
106,2358,10,09/07/2020,44021
107,2358,0,10/07/2020,44022
108,2404,46,11/07/2020,44023
109,2406,2,12/07/2020,44024
110,2411,5,13/07/2020,44025
111,2412,1,14/07/2020,44026
112,2423,11,15/07/2020,44027
113,2433,10,16/07/2020,44028
114,2440,7,17/07/2020,44029
115,2467,27,18/07/2020,44030
116,2472,5,19/07/2020,44031
117,2475,3,20/07/2020,44032
118,2475,0,21/07/2020,44033
119,2477,2,22/07/2020,44034
120,2494,17,23/07/2020,44035
121,2494,0,24/07/2020,44036
122,2503,9,25/07/2020,44037
123,2503,0,26/07/2020,44038
124,2510,7,27/07/2020,44039
125,2513,3,28/07/2020,44040
126,2520,7,29/07/2020,44041
127,2521,1,30/07/2020,44042
128,2522,1,31/07/2020,44043
129,2535,13,01/08/2020,44044
130,2535,0,02/08/2020,44045
131,2541,6,03/08/2020,44046
132,2543,2,04/08/2020,44047
133,2543,0,05/08/2020,44048
134,2546,3,06/08/2020,44049
135,2552,6,07/08/2020,44050
136,2561,9,08/08/2020,44051
137,2565,4,09/08/2020,44052
138,2567,2,10/08/2020,44053
139,2573,6,11/08/2020,44054
140,2577,4,12/08/2020,44055
