Time,Cum_Cases,Confirmed,date,Day
1,1,1,22/03/2020,43912
2,2,1,23/03/2020,43913
3,2,0,24/03/2020,43914
4,6,4,25/03/2020,43915
5,9,3,26/03/2020,43916
6,9,0,27/03/2020,43917
7,9,0,28/03/2020,43918
8,17,8,29/03/2020,43919
9,26,9,30/03/2020,43920
10,33,7,31/03/2020,43921
11,34,1,01/04/2020,43922
12,74,40,02/04/2020,43923
13,74,0,03/04/2020,43924
14,98,24,04/04/2020,43925
15,120,22,05/04/2020,43926
16,184,64,06/04/2020,43927
17,253,69,07/04/2020,43928
18,278,25,08/04/2020,43929
19,342,64,09/04/2020,43930
20,410,68,10/04/2020,43931
21,438,28,11/04/2020,43932
22,491,53,12/04/2020,43933
23,529,38,13/04/2020,43934
24,548,19,14/04/2020,43935
25,570,22,15/04/2020,43936
26,584,14,16/04/2020,43937
27,609,25,17/04/2020,43938
28,627,18,18/04/2020,43939
29,639,12,19/04/2020,43940
30,648,9,20/04/2020,43941
31,655,7,21/04/2020,43942
32,655,0,22/04/2020,43943
33,662,7,23/04/2020,43944
34,671,9,24/04/2020,43945
35,681,10,25/04/2020,43946
36,684,3,26/04/2020,43947
37,696,12,27/04/2020,43948
38,701,5,28/04/2020,43949
39,709,8,29/04/2020,43950
40,713,4,30/04/2020,43951
41,719,6,01/05/2020,43952
42,728,9,02/05/2020,43953
43,736,8,03/05/2020,43954
44,750,14,04/05/2020,43955
45,755,5,05/05/2020,43956
46,763,8,06/05/2020,43957
47,770,7,07/05/2020,43958
48,781,11,08/05/2020,43959
49,795,14,09/05/2020,43960
50,815,20,10/05/2020,43961
51,821,6,11/05/2020,43962
52,832,11,12/05/2020,43963
53,854,22,13/05/2020,43964
54,860,6,14/05/2020,43965
55,876,16,15/05/2020,43966
56,885,9,16/05/2020,43967
57,889,4,17/05/2020,43968
58,904,15,18/05/2020,43969
59,909,5,19/05/2020,43970
60,914,5,20/05/2020,43971
61,920,6,21/05/2020,43972
62,924,4,22/05/2020,43973
63,937,13,23/05/2020,43974
64,943,6,24/05/2020,43975
65,945,2,25/05/2020,43976
66,951,6,26/05/2020,43977
67,952,1,27/05/2020,43978
68,955,3,28/05/2020,43979
69,955,0,29/05/2020,43980
70,955,0,30/05/2020,43981
71,956,1,31/05/2020,43982
72,958,2,01/06/2020,43983
73,958,0,02/06/2020,43984
74,960,2,03/06/2020,43985
75,961,1,04/06/2020,43986
76,963,2,05/06/2020,43987
77,966,3,06/06/2020,43988
78,970,4,07/06/2020,43989
79,973,3,08/06/2020,43990
80,973,0,09/06/2020,43991
81,974,1,10/06/2020,43992
82,974,0,11/06/2020,43993
83,974,0,12/06/2020,43994
84,978,4,13/06/2020,43995
85,980,2,14/06/2020,43996
86,980,0,15/06/2020,43997
87,980,0,16/06/2020,43998
88,1016,36,17/06/2020,43999
89,1020,4,18/06/2020,44000
90,1020,0,19/06/2020,44001
91,1020,0,20/06/2020,44002
92,1035,15,21/06/2020,44003
93,1036,1,22/06/2020,44004
94,1046,10,23/06/2020,44005
95,1051,5,24/06/2020,44006
96,1056,5,25/06/2020,44007
97,1059,3,26/06/2020,44008
98,1062,3,27/06/2020,44009
99,1068,6,28/06/2020,44010
100,1074,6,29/06/2020,44011
101,1075,1,30/06/2020,44012
102,1075,0,01/07/2020,44013
103,1075,0,02/07/2020,44014
104,1081,6,03/07/2020,44015
105,1082,1,04/07/2020,44016
106,1082,0,05/07/2020,44017
107,1093,11,06/07/2020,44018
108,1093,0,07/07/2020,44019
109,1094,1,08/07/2020,44020
110,1097,3,09/07/2020,44021
111,1097,0,10/07/2020,44022
112,1099,2,11/07/2020,44023
113,1099,0,12/07/2020,44024
114,1099,0,13/07/2020,44025
115,1099,0,14/07/2020,44026
116,1099,0,15/07/2020,44027
117,1100,1,16/07/2020,44028
118,1102,2,17/07/2020,44029
119,1102,0,18/07/2020,44030
120,1104,2,19/07/2020,44031
121,1104,0,20/07/2020,44032
122,1105,1,21/07/2020,44033
123,1113,8,22/07/2020,44034
124,1122,9,23/07/2020,44035
125,1124,2,24/07/2020,44036
126,1124,0,25/07/2020,44037
127,1124,0,26/07/2020,44038
128,1132,8,27/07/2020,44039
129,1132,0,28/07/2020,44040
130,1132,0,29/07/2020,44041
131,1134,2,30/07/2020,44042
132,1134,0,31/07/2020,44043
133,1134,0,01/08/2020,44044
134,1136,2,02/08/2020,44045
135,1147,11,03/08/2020,44046
136,1152,5,04/08/2020,44047
137,1152,0,05/08/2020,44048
138,1152,0,06/08/2020,44049
139,1153,1,07/08/2020,44050
140,1153,0,08/08/2020,44051
141,1157,4,09/08/2020,44052
142,1158,1,10/08/2020,44053
143,1158,0,11/08/2020,44054
144,1158,0,12/08/2020,44055
